generation,stage,best_fitness,mean_fitness,max_links,mean_links
0,walking,1.224,0.752,5,5.000
1,walking,2.330,0.917,6,5.050
2,walking,2.330,1.078,6,5.000
3,walking,2.330,1.133,6,5.000
4,walking,2.830,1.562,6,4.900
5,walking,2.830,1.685,6,4.900
6,walking,2.830,1.743,7,5.250
7,walking,2.890,2.173,7,5.750
8,walking,3.159,2.146,7,5.450
9,walking,3.159,2.308,7,5.650
10,walking,3.159,2.430,8,5.750
11,walking,3.312,2.444,7,5.650
12,walking,3.327,2.437,8,5.550
13,walking,3.327,2.449,9,5.700
14,walking,92.627,7.039,8,5.550
15,walking,92.627,60.269,7,5.850
16,walking,92.627,81.917,7,6.050
17,walking,92.630,77.478,7,6.100
18,walking,92.630,81.995,6,5.900
19,walking,92.633,90.276,9,6.200
20,walking,92.633,72.123,9,6.350
21,walking,92.633,80.864,9,6.500
22,walking,92.633,85.025,9,6.700
23,walking,92.633,89.132,9,6.650
24,walking,95.911,79.491,9,6.950
25,walking,95.913,81.645,11,7.750
26,walking,95.913,73.578,11,7.700
27,walking,95.913,76.924,10,6.350
28,walking,95.913,81.741,9,6.350
29,walking,95.913,87.660,9,5.750
30,walking,95.913,82.320,9,5.850
31,walking,95.913,80.689,9,6.200
32,walking,95.913,73.224,9,6.100
33,walking,95.913,78.400,8,5.700
34,walking,95.913,73.471,8,5.400
35,walking,95.913,87.306,9,5.550
36,walking,95.913,88.227,9,5.500
37,walking,95.913,86.079,8,5.800
38,walking,95.915,85.462,8,5.900
39,walking,95.915,89.839,8,5.950
40,walking,95.915,79.165,8,6.100
41,walking,95.915,84.102,8,5.900
42,walking,95.915,72.926,9,6.300
43,walking,95.915,77.992,9,6.350
44,walking,95.915,87.138,9,6.450
45,walking,95.915,83.209,9,6.450
46,walking,95.915,82.222,9,6.550
47,walking,95.915,85.752,9,6.500
48,walking,95.915,77.747,9,6.450
49,walking,95.940,81.916,8,6.200
50,climbing,0.010,0.009,8,6.400
51,climbing,0.101,0.013,9,6.600
52,climbing,0.107,0.036,8,6.500
53,climbing,0.112,0.084,8,6.200
54,climbing,0.118,0.095,8,6.550
55,climbing,0.118,0.099,8,6.700
56,climbing,0.118,0.110,8,6.700
57,climbing,0.122,0.108,8,6.850
58,climbing,0.122,0.113,8,7.000
59,climbing,0.122,0.113,8,7.050
60,climbing,0.122,0.111,8,6.900
61,climbing,0.122,0.111,9,7.450
62,climbing,0.122,0.112,10,7.650
63,climbing,0.130,0.111,10,7.300
64,climbing,0.130,0.111,11,7.850
65,climbing,0.130,0.111,11,8.600
66,climbing,0.130,0.115,11,9.000
67,climbing,0.130,0.113,11,8.900
68,climbing,0.130,0.110,11,8.550
69,climbing,0.130,0.110,10,8.500
70,climbing,0.130,0.111,11,8.450
71,climbing,0.130,0.110,10,8.150
72,climbing,0.130,0.105,10,7.950
73,climbing,0.130,0.106,11,8.350
74,climbing,0.130,0.107,14,8.450
75,climbing,0.130,0.107,11,7.950
76,climbing,0.131,0.108,14,8.300
77,climbing,0.131,0.110,12,8.050
78,climbing,0.131,0.108,12,8.700
79,climbing,0.131,0.111,12,8.800
80,climbing,0.131,0.108,12,8.700
81,climbing,0.131,0.113,13,9.000
82,climbing,0.131,0.112,13,9.500
83,climbing,0.131,0.110,17,9.850
84,climbing,0.131,0.108,12,9.700
85,climbing,0.131,0.103,14,9.500
86,climbing,0.131,0.109,12,9.150
87,climbing,0.131,0.105,12,9.450
88,climbing,0.131,0.106,13,9.900
89,climbing,0.131,0.106,12,9.800
90,climbing,0.131,0.106,15,10.100
91,climbing,0.131,0.105,13,9.600
92,climbing,0.131,0.107,13,9.000
93,climbing,0.131,0.106,11,8.800
94,climbing,0.131,0.108,10,8.650
95,climbing,0.131,0.107,10,8.400
96,climbing,0.131,0.106,9,8.150
97,climbing,0.131,0.107,10,8.150
98,climbing,0.131,0.110,12,7.850
99,climbing,0.131,0.109,12,7.750
