generation,stage,best_fitness,mean_fitness,max_links,mean_links
0,walking,1.526,0.735,3,3.000
1,walking,1.526,0.891,3,2.850
2,walking,1.526,1.104,3,2.850
3,walking,1.526,1.279,3,2.850
4,walking,1.526,1.281,3,2.850
5,walking,1.526,1.122,4,2.750
6,walking,1.532,1.335,4,2.900
7,walking,1.532,1.403,3,2.900
8,walking,1.542,1.462,3,2.950
9,walking,1.542,1.346,3,2.850
10,walking,1.559,1.359,4,3.100
11,walking,1.768,1.372,4,3.000
12,walking,1.769,1.602,4,3.400
13,walking,1.796,1.515,4,3.500
14,walking,1.808,1.650,4,3.750
15,walking,1.808,1.683,5,3.950
16,walking,1.808,1.675,4,3.850
17,walking,1.808,1.701,4,3.950
18,walking,2.979,1.631,5,3.900
19,walking,2.979,1.806,5,3.950
20,walking,2.984,2.066,5,4.300
21,walking,3.029,2.161,5,4.400
22,walking,3.029,2.689,5,4.850
23,walking,3.029,2.525,5,4.800
24,walking,3.035,2.832,5,4.900
25,walking,3.419,2.768,6,5.000
26,walking,3.419,2.803,6,5.100
27,walking,3.454,2.859,6,5.400
28,walking,4.700,3.049,7,5.900
29,walking,109.014,13.756,6,5.900
30,walking,109.566,34.208,6,5.900
31,walking,112.327,45.228,6,5.800
32,walking,112.337,77.400,6,5.850
33,walking,113.202,94.575,6,5.900
34,walking,113.825,95.733,6,5.900
35,walking,114.164,90.741,6,5.950
36,walking,114.164,74.308,6,5.750
37,walking,114.191,96.899,6,5.900
38,walking,114.609,108.109,6,6.000
39,walking,114.609,89.418,7,5.850
40,walking,114.609,66.979,7,5.650
41,walking,114.926,96.567,6,5.850
42,walking,114.940,92.079,7,5.950
43,walking,115.131,91.540,6,5.950
44,walking,115.731,84.453,7,5.850
45,walking,115.731,97.546,6,5.850
46,walking,115.731,97.020,7,5.950
47,walking,115.731,80.739,7,5.900
48,walking,115.731,75.414,6,5.700
49,walking,115.744,93.084,6,5.900
50,walking,116.900,75.661,6,5.800
51,walking,116.912,91.779,7,5.950
52,walking,116.912,98.968,6,5.850
53,walking,117.356,82.676,6,5.800
54,walking,117.434,88.153,6,5.850
55,walking,117.434,87.742,7,5.900
56,walking,117.434,87.112,7,5.850
57,walking,117.434,88.092,6,5.750
58,walking,117.460,88.477,6,5.850
59,walking,117.460,88.480,6,5.850
60,walking,117.671,77.167,7,5.900
61,walking,117.699,60.033,6,5.850
62,walking,117.705,87.513,7,5.950
63,walking,117.721,87.718,6,5.800
64,walking,117.721,83.705,7,5.900
65,walking,117.721,81.769,7,5.900
66,walking,117.721,70.909,6,5.850
67,walking,117.721,92.535,6,5.800
68,walking,117.721,100.277,6,5.900
69,walking,117.724,77.443,7,5.900
70,walking,117.795,76.122,7,5.750
71,walking,117.795,71.169,7,5.800
72,walking,117.795,94.397,6,5.800
73,walking,117.840,82.218,6,5.850
74,walking,117.858,77.140,6,5.750
75,walking,117.858,88.275,6,5.750
76,walking,117.860,99.843,6,5.850
77,walking,118.302,94.700,6,5.900
78,walking,118.302,106.473,6,5.950
79,walking,118.302,98.838,7,5.950
80,walking,118.302,70.958,6,5.650
81,walking,118.591,81.522,7,5.850
82,walking,118.591,86.840,7,5.950
83,walking,118.591,83.041,6,5.800
84,walking,118.591,65.217,6,5.650
85,walking,118.706,106.829,6,6.000
86,walking,118.706,82.994,7,5.950
87,walking,118.724,100.778,6,5.950
88,walking,118.724,82.791,7,5.900
89,walking,118.724,66.152,6,5.650
90,walking,118.794,71.771,6,5.600
91,walking,118.794,76.985,7,5.850
92,walking,118.794,71.087,7,5.850
93,walking,118.968,88.502,7,5.850
94,walking,118.969,106.957,6,5.950
95,walking,118.969,89.864,6,5.900
96,walking,118.969,78.649,6,5.800
97,walking,118.983,95.566,6,5.900
98,walking,118.983,89.634,6,5.900
99,walking,119.138,100.870,6,5.900
100,walking,119.497,105.869,7,6.000
101,walking,119.497,101.464,6,5.900
102,walking,119.497,77.017,6,5.850
103,walking,119.511,95.154,6,5.850
104,walking,119.511,101.542,6,5.950
105,walking,119.757,102.052,6,5.900
106,walking,119.761,72.631,6,5.700
107,walking,119.761,84.597,6,5.850
108,walking,119.761,71.612,7,5.800
109,walking,119.761,96.424,6,5.900
110,walking,119.761,107.259,6,5.950
111,walking,119.761,78.068,6,5.850
112,walking,119.761,95.482,7,6.000
113,walking,119.811,86.705,7,5.900
114,walking,119.865,88.569,7,5.850
115,walking,120.305,101.920,6,5.900
116,walking,120.315,101.219,7,5.950
117,walking,120.324,101.439,7,6.000
118,walking,120.484,114.237,6,5.950
119,walking,120.484,95.902,6,5.950
120,walking,120.575,107.916,6,5.900
121,walking,120.575,82.727,7,5.900
122,walking,120.575,96.797,6,5.900
123,walking,120.575,78.809,6,5.650
124,walking,120.575,82.885,6,5.800
125,walking,120.577,102.716,6,5.900
126,walking,120.579,97.029,7,5.950
127,walking,120.579,108.770,6,6.000
128,walking,120.579,101.384,7,5.950
129,walking,120.837,102.109,6,5.950
130,walking,120.837,90.700,6,5.800
131,walking,120.845,114.646,6,5.950
132,walking,120.845,102.077,6,5.900
133,walking,121.137,98.466,7,6.000
134,walking,121.137,89.374,7,5.900
135,walking,121.152,91.011,6,5.850
136,walking,121.152,96.207,6,5.850
137,walking,121.152,85.194,6,5.800
138,walking,121.284,94.847,7,5.950
139,walking,121.284,84.426,6,5.850
140,walking,121.284,79.476,6,5.850
141,walking,121.284,90.608,6,5.800
142,walking,121.284,107.862,6,5.950
143,walking,121.412,108.995,6,5.950
144,walking,121.412,91.265,6,5.850
145,walking,121.413,103.106,6,6.000
146,walking,121.654,73.146,7,5.800
147,walking,121.855,74.006,6,5.850
148,walking,121.855,91.258,6,5.800
149,walking,121.860,85.092,7,6.000
150,walking,122.205,91.099,7,5.900
151,walking,122.205,97.992,6,5.850
152,walking,122.205,97.497,7,6.000
153,walking,122.551,90.129,7,5.850
154,walking,122.554,92.530,6,5.900
155,walking,122.554,91.978,6,5.900
156,walking,122.554,85.204,6,5.700
157,walking,122.554,80.321,6,5.800
158,walking,122.554,74.505,6,5.700
159,walking,122.586,92.512,6,5.800
160,walking,122.586,86.138,6,5.750
161,walking,122.586,104.117,6,5.850
162,walking,122.615,98.326,6,5.850
163,walking,122.629,97.798,6,5.850
164,walking,122.646,68.522,6,5.750
165,walking,122.646,95.224,7,6.000
166,walking,122.646,97.279,6,6.000
167,walking,122.646,86.779,6,5.800
168,walking,122.646,104.222,6,5.850
169,walking,122.654,110.421,6,5.900
170,walking,122.654,79.624,7,5.800
171,walking,122.667,98.588,6,5.850
172,walking,122.667,69.140,6,5.800
173,walking,122.675,93.147,6,5.950
174,walking,122.675,97.218,7,5.900
175,walking,122.675,92.021,6,5.900
176,walking,122.675,91.470,7,5.900
177,walking,122.676,80.135,6,5.700
178,walking,122.676,86.375,6,5.750
179,walking,122.676,97.053,7,5.950
180,walking,122.676,90.560,7,5.850
181,walking,122.676,103.362,7,6.000
182,walking,122.679,86.671,6,5.800
183,walking,122.679,80.517,6,5.800
184,walking,122.679,81.022,6,5.800
185,walking,122.679,86.385,7,5.950
186,walking,122.679,104.221,7,6.100
187,walking,122.679,96.931,7,6.000
188,walking,122.679,81.957,7,6.000
189,walking,122.679,91.719,6,5.950
190,walking,122.680,91.476,6,5.750
191,walking,122.680,89.280,7,5.900
192,walking,122.680,67.121,7,5.950
193,walking,122.680,104.915,6,5.950
194,walking,122.680,80.260,6,5.700
195,walking,122.684,92.693,7,5.950
196,walking,122.690,109.957,6,5.950
197,walking,122.695,80.214,6,5.650
198,walking,122.697,86.288,6,5.700
199,walking,122.712,98.409,7,6.000
200,climbing,0.119,0.020,6,5.950
201,climbing,0.119,0.026,6,5.850
202,climbing,0.119,0.063,6,5.700
203,climbing,0.119,0.104,6,5.200
204,climbing,0.120,0.113,5,4.500
205,climbing,0.120,0.116,5,4.750
206,climbing,0.120,0.117,5,4.950
207,climbing,0.120,0.118,5,4.900
208,climbing,0.121,0.116,5,4.750
209,climbing,0.122,0.115,6,4.800
210,climbing,0.122,0.114,6,4.950
211,climbing,0.122,0.116,5,4.700
212,climbing,0.122,0.117,6,4.950
213,climbing,0.122,0.118,5,4.850
214,climbing,0.122,0.116,5,4.750
215,climbing,0.122,0.119,5,4.850
216,climbing,0.122,0.114,5,4.700
217,climbing,0.123,0.116,5,4.900
218,climbing,0.123,0.119,5,4.950
219,climbing,0.123,0.119,5,4.800
220,climbing,0.123,0.119,5,4.800
221,climbing,0.123,0.121,5,4.900
222,climbing,0.123,0.120,5,4.950
223,climbing,0.124,0.121,6,5.000
224,climbing,0.124,0.116,6,4.800
225,climbing,0.124,0.120,6,4.900
226,climbing,0.129,0.121,6,4.950
227,climbing,0.129,0.121,6,5.000
228,climbing,0.129,0.124,6,5.100
229,climbing,0.129,0.120,6,4.950
230,climbing,0.129,0.123,6,5.350
231,climbing,0.130,0.124,6,5.350
232,climbing,0.130,0.125,6,5.600
233,climbing,0.130,0.123,6,5.800
234,climbing,0.130,0.121,6,5.750
235,climbing,0.130,0.126,6,5.850
236,climbing,0.131,0.127,7,6.000
237,climbing,0.131,0.125,7,5.950
238,climbing,0.131,0.123,7,5.850
239,climbing,0.131,0.125,7,5.850
240,climbing,0.131,0.127,6,5.900
241,climbing,0.131,0.125,6,5.850
242,climbing,0.131,0.128,6,5.900
243,climbing,0.132,0.128,7,5.950
244,climbing,0.132,0.127,6,5.850
245,climbing,0.138,0.129,6,5.950
246,climbing,0.139,0.126,7,5.850
247,climbing,0.139,0.125,6,5.650
248,climbing,0.139,0.131,6,5.900
249,climbing,0.139,0.114,6,5.750
250,climbing,0.140,0.135,6,5.900
251,climbing,0.140,0.130,6,5.900
252,climbing,0.140,0.130,7,6.000
253,climbing,0.141,0.117,7,5.800
254,climbing,0.141,0.131,6,5.800
255,climbing,0.141,0.140,6,6.000
256,climbing,0.142,0.129,6,5.750
257,climbing,0.142,0.140,7,6.050
258,climbing,0.142,0.141,6,6.000
259,climbing,0.143,0.128,6,5.750
260,climbing,0.143,0.130,7,5.900
261,climbing,0.143,0.134,6,5.950
262,climbing,0.143,0.138,6,5.900
263,climbing,0.143,0.133,7,6.000
264,climbing,0.143,0.139,6,5.900
265,climbing,0.148,0.141,6,6.000
266,climbing,0.148,0.139,6,5.900
267,climbing,0.148,0.137,7,6.000
268,climbing,0.148,0.127,6,5.700
269,climbing,0.148,0.136,6,5.950
270,climbing,0.148,0.128,6,5.800
271,climbing,0.149,0.141,6,5.900
272,climbing,0.150,0.137,7,5.950
273,climbing,0.150,0.141,7,5.950
274,climbing,0.150,0.131,6,5.800
275,climbing,0.150,0.141,6,5.950
276,climbing,0.150,0.134,7,5.900
277,climbing,0.150,0.138,6,5.850
278,climbing,0.150,0.134,7,5.900
279,climbing,0.150,0.139,6,5.900
280,climbing,0.150,0.126,6,5.700
281,climbing,0.150,0.133,6,5.800
282,climbing,0.150,0.142,6,5.850
283,climbing,0.151,0.145,6,5.900
284,climbing,0.151,0.123,7,5.950
285,climbing,0.151,0.132,7,5.950
286,climbing,0.151,0.142,7,5.900
287,climbing,0.151,0.130,6,5.800
288,climbing,0.152,0.138,6,5.850
289,climbing,0.152,0.137,6,5.850
290,climbing,0.152,0.130,6,5.800
